Listing_ID,Title,Price,URL,Модел,Цена,Състояние,Тип,Произведено,Тип двигател,Мощност[к.с.],Скоростна кутия,Цвят,Пробег,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,
53712506,Ford Fiesta St,"15 000 лв. - 7 669,38 €Цената е с включено ДДС",https://www.auto.bg/obiava/53712506/ford-fiesta-st,Ford Fiesta,15 000 лв.,Употребяван,Хечбек,февруари 2018 г.,Ford Fiesta Бензин,100 к.с,Ръчна,Черен,129576 км,,,,,,,,,,,,,,,
81980897,Citroen Berlingo Hdi,"8 200 лв. - 4 192,59 €Цената е с включено ДДС",https://www.auto.bg/obiava/81980897/citroen-berlingo-hdi,Citroen Berlingo,8 200 лв.,Употребяван,Комби,май 2009 г.,Citroen Berlingo Дизел,109 к.с,Ръчна,Светло сив,202740 км,,,,,,,,,,,,,,,
92526136,BMW X5,"21 999 лв. - 11 247,91 €Цената е с включено ДДС",https://www.auto.bg/obiava/92526136/bmw-x5,BMW X5,21 999 лв.,Употребяван,Джип,май 2009 г.,BMW X5 Бензин,272 к.с,Автоматична,Бял,218000 км,,,,,,,,,,,,,,,
90978459,Mercedes-Benz C 270,"4 500 лв. - 2 300,81 €Не се начислява ДДС",https://www.auto.bg/obiava/90978459/mercedes-benz-c-270,Mercedes-Benz C 270,4 500 лв.,Употребяван,Комби,януари 2003 г.,Mercedes-Benz C 270 Дизел,163 к.с,Ръчна,Светло сив,248000 км,,,,,,,,,,,,,,,
36769060,Audi A4 2.0tdi AutoBixenon,"16 500 лв. - 8 436,32 €Не се начислява ДДС",https://www.auto.bg/obiava/36769060/audi-a4-2-0tdi-autobixenon,Audi A4,16 500 лв.,Употребяван,Седан,юли 2013 г.,Audi A4 Дизел,140 к.с,Автоматична,Черен,192800 км,,,,,,,,,,,,,,,
17155621,BMW 335 E92 335i,"15 900 лв. - 8 129,54 €Не се начислява ДДС",https://www.auto.bg/obiava/17155621/bmw-335-e92-335i,BMW 335,15 900 лв.,Употребяван,Купе,юни 2006 г.,BMW 335 Бензин,306 к.с,Автоматична,Сив,208900 км,,,,,,,,,,,,,,,
33365488,Mercedes-Benz 123,"7 600 лв. - 3 885,82 €Не се начислява ДДС",https://www.auto.bg/obiava/33365488/mercedes-benz-123,Mercedes-Benz 123,7 600 лв.,Употребяван,Седан,септември 1984 г.,Mercedes-Benz 123 Дизел,60 к.с,Ръчна,Кафяв,230000 км,,,,,,,,,,,,,,,
61132051,Audi Rs6 * MAXTON DESIGN* Ceramic* DRC* ЛИЗИНГ,"166 000 лв. - 84 874,45 €Не се начислява ДДС",https://www.auto.bg/obiava/61132051/audi-rs6-maxton-design-ceramic-drc-lizing,Audi Rs6,166 000 лв.,Употребяван,Комби,април 2021 г.,Audi Rs6 Бензин,600 к.с,Автоматична,Сив,83400 км,,,,,,,,,,,,,,,
89477632,BMW 330,"24 999 лв. - 12 781,79 €Не се начислява ДДС",https://www.auto.bg/obiava/89477632/bmw-330,BMW 330,24 999 лв.,Употребяван,Комби,декември 2013 г.,BMW 330 Дизел,296 к.с,Автоматична,Син,309000 км,,,,,,,,,,,,,,,
96986351,Mazda CX-7,"3 000 лв. - 1 533,88 €Не се начислява ДДС",https://www.auto.bg/obiava/96986351/mazda-cx-7,Mazda CX-7,3 000 лв.,Употребяван,Джип,септември 2010 г.,Mazda CX-7 Дизел,173 к.с,Ръчна,,250000 км,,,,,,,,,,,,,,,
38801156,Mercedes-Benz GLC 300 * 4MATIC LEATHER PAN/ROOF NAVI B/SPOT CAMERA *,"39 100 лв. - 19 991,51 €Цената е с включено ДДС",https://www.auto.bg/obiava/38801156/mercedes-benz-glc-300-4matic-leather-pan-roof-navi-b-spot-camera,Mercedes-Benz GLC 300,39 100 лв.,Употребяван,Джип,януари 2019 г.,Mercedes-Benz GLC 300 Бензин,241 к.с,Автоматична,,129997 км,,,,,,,,,,,,,,,
56055455,Audi Q5 * PROGRESSIV S-LINE AWD LEATHER PAN/ROOF NAV CAMER,"35 350 лв. - 18 074,17 €Цената е с включено ДДС",https://www.auto.bg/obiava/56055455/audi-q5-progressiv-s-line-awd-leather-pan-roof-nav-camer,Audi Q5,35 350 лв.,Употребяван,Джип,януари 2018 г.,Audi Q5 Бензин,252 к.с,Автоматична,,122790 км,,,,,,,,,,,,,,,
50523721,Mercedes-Benz Viano Ambiente - дълга база 7+ 1,"7 999 лв. - 4 089,82 €Не се начислява ДДС",https://www.auto.bg/obiava/50523721/mercedes-benz-viano-ambiente-dalga-baza-7-1,Mercedes-Benz Viano,7 999 лв.,Употребяван,Ван,декември 2006 г.,Mercedes-Benz Viano Дизел,150 к.с,Автоматична,Сребърен,270000 км,,,,,,,,,,,,,,,
